name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Perez, Orlando	4	M	6	2	165	7	12	77		High School	USA
Broome, Paul	2	D	5	9	150	6	6	76		SMU	USA
Brown, Chris (2)	5	m/f	5	11	170	3	10	77		Portland	USA
Cerritos, Ronald	6	F	5	9	155	1	3	75		Abroad	El Salvador
Hendrickson, Ezra	3	D/M	6	3	185	1	16	72		Drake	St. V & Gr.
Kamler, Brian	4	M	6	1	180	2	12	72		Creighton	USA
Lisi, Mark	4	M	6	1	165	10	11	77		Clemson	USA
Suarez, Ryan	2	D	6	2	185	7	28	77		San Jose St.	USA
Williams, Andy	4	M	5	8	155	9	23	77		Rhode Island	Jamaica
Ziadie, Craig	2	D	5	10	172	9	20	78		Richmond	Jamaica
Agoos, Jeff	2	D	5	10	175	5	2	68		Virginia	USA
Akwari, Nelson	2	D	6	0	180	2	4	82		UCLA	USA
Albright, Chris	6	F	6	1	175	1	14	79		Virginia	USA
Armas, Chris	4	M	5	7	150	8	27	72		Adelphi	USA
Arnaud, Davy	4	M	6	0	165	6	22	80		West Texas A&M	USA
Barclay, Devin	5	m/f	5	11	165	4	9	83		High School	USA
Beasley, DaMarcus	4	M	5	7	137	5	24	82		Bradenton	USA
Beckerman, Kyle	4	M	5	10	155	4	23	82		Bradenton	USA
Behncke, Matt	3	d/m	6	3	190	2	20	80		Princeton	USA
Bonseu, Tenywa	2	D	6	1	176	9	28	76		Martin Methodist	Uganda
Brown, Adin	1	GK	6	5	200	5	27	78		William & Mary	USA
Brown, C.J.	2	D	6	0	185	6	15	75		San Jose St.	USA
Buddle, Edson	6	F	6	1	170	5	21	81		State Fair CC	USA
Busch, Jon	1	GK	5	10	165	8	18	76		UNC Charlotte	USA
Califf, Danny	2	D	6	0	180	3	17	80		Maryland	USA
Cannon, Joe	1	GK	6	2	190	1	1	75		Santa Clara	USA
Capano, Craig	4	M	5	7	140	7	7	85		Bradenton	USA
Carrieri, Chris	6	F	5	8	150	4	28	80		UNC	USA
Chung, Mark	4	M	5	7	150	6	18	70		South Florida	USA
Conrad, Jimmy	2	D	6	2	185	2	12	77		UCLA	USA
Convey, Bobby	4	M	5	9	160	5	27	83		Bradenton	USA
Conway, Jon	1	GK	6	6	215	5	6	77		Rutgers	USA
Corrales, Ramiro	3	d/m	6	0	160	3	12	77		High School	USA
Countess, D.J.	1	GK	6	1	185	1	9	82		UCLA	USA
Cunningham, Jeff	6	F	5	8	155	8	21	76		South Florida	Jamaica
Curtin, Jim	2	D	6	4	205	6	23	79		Villanova	USA
Curtis, Ali	6	F	5	10	190	12	18	78		Duke	USA
Davis, Brad	4	M	5	11	165	11	8	81		SLU	USA
Dayak, Troy	2	D	5	11	175	1	21	71		High School	USA
De Rosario, Dwayne	6	F	5	11	164	5	15	78		High School	Canada
Denton, Eric	3	d/m	5	9	155	2	8	78		Santa Clara	USA
Donovan, Landon	6	F	5	9	155	3	4	82		Bradenton	USA
Dunseth, Brian	2	D	6	0	170	3	2	77		Cal State Fullerton	USA
Ekelund, Ronnie	4	M	6	0	180	8	21	72		Abroad	Denmark
Elliott, Simon	4	M	6	0	185	6	10	74		Stanford	New Zealand
Fabbro, Dario	6	F	6	2	178	11	3	76		Abroad	Argentina
Faria, Rodrigo	6	F	6	1	150	2	24	77		High School	Brazil
Franchino, Joe	2	D	5	7	140	8	8	76		Washington	USA
Fraser, Robin	2	D	6	1	175	12	17	66		FIU	USA
Garcia, Nick	2	D	5	10	160	4	9	79		Indiana	USA
Garlick, Scott	1	GK	6	2	195	5	29	72		San Diego	USA
Glinton, Gavin	6	F	5	10	150	3	1	79		Bradley	Turks and Caicos
Gomez, Francisco	4	M	5	11	170	1	25	79		High School	USA
Gray, Kelly	3	D/M	6	2	170	4	7	81		Portland	USA
Griffiths, Winston	4	M	5	10	160	5	12	78		Rhode Island	Jamaica
Gutierrez, Diego	4	M	5	7	155	11	3	72		Rockhurst	USA
Harris, Wolde	6	F	5	10	190	1	26	74		Clemson	Jamaica
Hart, Wes	3	d/m	5	7	155	9	14	77		Washington	USA
Hartman, Kevin	1	GK	6	1	185	5	25	74		UCLA	USA
Heaps, Jay	3	d/m	5	9	155	8	2	76		Duke	USA
Henderson, Chris	4	M	5	9	150	12	11	70		UCLA	USA
Herdsman, Steven	2	D	5	11	165	10	6	75		Cornerstone	USA
Hernandez, Daniel	3	D/M	5	10	165	7	23	76		SMU	USA
Johnson, Edward	6	F	6	0	180	3	31	84		Bradenton	USA
Jolley, Steve	2	D	6	1	190	10	15	75		William & Mary	USA
Jones, Cobi	4	M	5	7	145	6	16	70		UCLA	USA
Kante, Daouda	2	D	6	2	180	7	16	78		FIU	Mali
Kingsley, Zach	4	M	5	11	160	1	18	80		Washington	USA
Klein, Chris	4	M	6	1	180	1	4	76		Indiana	USA
Kotschau, Ritchie	2	D	5	10	175	11	22	75		George Mason	USA
Kovalenko, Dema	4	M	5	8	160	8	28	77		Indiana	Ukraine
Kreis, Jason	6	F	5	10	155	12	29	72		Duke	USA
Lagos, Manny	4	M	6	0	165	6	11	71		Wisconsin-Milwaukee	USA
Leitch, Chris	2	D	5	11	165	4	1	79		UNC	USA
Lewis, Ricky	2	D	6	0	170	5	29	82		Clemson	USA
Maisonneuve, Brian	4	M	5	11	170	6	28	73		Indiana	USA
Mapp, Justin	6	F	5	10	140	10	18	84		Bradenton	USA
Marsch, Jesse	4	M	5	11	170	11	8	73		Princeton	USA
Marshall, Tyrone	2	D	6	2	190	11	12	74		FIU	Jamaica
Martinez, Antonio	4	M	5	7	140	7	9	77		Cal State Fullerton	Mexico
Martino, Kyle	4	M	5	10	144	2	19	81		Virginia	USA
Mastroeni, Pablo	3	D/M	5	10	170	8	29	76		NC State	USA
Meola, Tony	1	GK	6	1	205	2	21	69		Virginia	USA
Moreno, Alejandro	6	F	5	9	170	7	8	79		UNC Greensboro	Venezuela
Moreno, Jaime	6	F	5	10	173	1	19	74		Abroad	Bolivia
Mullan, Brian	5	M/F	5	8	150	4	23	78		Creighton	USA
Mulrooney, Richard	4	M	5	9	160	11	3	76		Creighton	USA
Namoff, Bryan	2	D	5	10	176	5	28	79		Bradley	USA
Nelsen, Ryan	3	D/M	6	1	196	10	18	77		Stanford	New Zealand
O'Brien, Ronnie	4	M	5	10	155	1	5	79		Abroad	Ireland
Olsen, Ben	4	M	5	8	156	5	3	77		Virginia	USA
Oshoniyi, Bo	1	GK	6	1	190	11	3	71		Southern Connecticut St.	USA
Oughton, Duncan	5	M/F	5	9	160	6	14	77		Cal State Fullerton	New Zealand
Pareja, Oscar	4	M	5	8	150	8	10	68		Abroad	Colombia
Paule, Ross	4	M	5	10	160	4	4	76		Creighton	USA
Petke, Mike	2	D	6	2	199	1	30	76		Southern Connecticut St.	USA
Pierce, Rusty	2	D	5	10	165	7	24	79		UNC Greensboro	USA
Pineda Chacon, Alex	4	M	5	8	150	12	19	69		Abroad	Honduras
Pope, Eddie	2	D	6	0	175	12	24	73		UNC	USA
Preki	4	M	5	9	165	6	24	63		Abroad	Serbia
Prideaux, Brandon	2	D	6	0	170	8	18	76		Washington	USA
Quaranta, Santino	6	F	6	1	185	10	14	84		Bradenton	USA
Quill, Eric	5	M/F	5	10	170	2	28	78		Clemson	USA
Ralston, Steve	4	M	5	9	160	6	14	74		FIU	USA
