name	month	day	year		feet	inches	pounds	nationality
Asad, Shaker	8	18	79		5	9	165	USA
Barton, Joe	7	1	81		6	3	190	USA
Barton, Joshua	7	1	81		6	1	185	USA
Broder, Jordy	4	19	80		5	9	165	USA
Cozier, Mangea	10	23	73		5	8	170	USA
DeLima, Adilson	5	19	75					Brazil
Felippe, Carlos	11	29	76					
Fletcher, Carl	12	26	71		5	9	175	Canada
Hancock, Bryheem	3	1	80					USA
Iotov, Velko	8	26	70		5	11	175	Bulgaria
Klinger, Martin	7	9	80		5	11	140	Ecuador
Luna, Ramon	4	20	78		5	9	140	
Matis, Marcel	8	16	74					Romania
M'Bemba, Franck	12	3	78		5	9	155	
Mitchell, Byron	9	19	72		5	11	172	USA
Moore, David	5	31	80		5	10	165	
Mora, Scott	1	4	79					
Nusum, John Barry	3	18	81					Bermuda
Odera, Joard	6	1	76		6	1	180	
Okolie, Lucas	10	17	76					
Ozimek, Erik	3	7	80		5	10	176	
Parra, Juan Carlos	2	3	77					
Piesner, Brian	6	4	78					USA
Tokpah, Anthony	7	26	77		6	3	182	Liberia
Woods, Alan	9	12	78		6	0	170	USA
Thomas, Keegan								
Glasnovic, James	4	11	68					Canada
Clarke, Ian	8	16	75					
Chala, Conrad	10	8	76					Canada
DeSilva, William	9	8	77					Canada
Wimble, Shaun	12	28	77					
Kenas, Eric	12	31	77					
Auvigne, Jaime	1	14	78					Canada
Clarke, Chris	4	6	78					
Wiebenga, David	12	18	78					
Henry, Richard	2	26	79					
Wheeldon, Thomas	3	5	79					
Gareau, Dwayne	3	27	80					
Fraser, Sean	9	21	80					Canada
Gillespie, Jordan	1	9	81					Canada
Reyes, Nicky	5	19	81					Canada
Kennedy, Michael	8	16	81					
Richards, Jermaine	3	29	82					
Authers, Ajai	9	11	82					
Zuniga, Nicolas	4	20	83					Canada
Peszneker, Charles	1	4	84					Canada
Korthuis, Mark	1	22	84					
Dawes, Ian	3	16	84					
Garrity, Brendan	3	28	84					
Bachelu, Brett	9	5	84					
Mcdermott, Brett	11	19	84					
Ledgerwood, Nikolas	1	16	85					
Phelan, Terry	3	16	67					Ireland
Titus, Rick	3	10	69		6	1	175	Canada
Conway, Paul	4	17	70		6	2	180	USA
Watson, Mark	9	8	70		6	0	180	Canada
Donnelly, Seamus	5	25	71					Ireland
Maamria, Noureddine	5	26	71					Tunisia
Dixon, Linval	9	14	71		6	0	187	Jamaica
Chronopoulos, Teddy	8	16	72					USA
Hudock, Dustin	9	4	72		6	2	195	USA
Lewis, Andrew	9	10	74					USA
Klein, Steve	5	11	75		6	2	180	USA
Moore, Barry	2	4	77		5	10	165	England
Henderson, Josh	10	14	77		6	0	185	USA
Wilson, John	10	26	77					USA
Moore, Jason	4	4	78					USA
Jackson, Kevin	7	5	78		5	11	165	USA
Dore, Christopher	7	11	78					USA
Trout, Ryan	11	9	78					USA
Hoy, Bryan	12	21	78		5	10	150	USA
Degand, Fred	6	6	79					USA
Doyle, Christopher	8	30	79		6	5	205	USA
Scoullar, Blair	8	30	79					New Zealand
Beasley, Jamar	10	11	79					USA
Behncke, Matt	2	20	80					USA
Bagley, Christopher	5	20	80		5	11	165	USA
Lara, David	11	26	80					USA
Behonick, Michael	1	3	81					USA
Goos, Chris	4	16	81		5	9	167	USA
Galeano-Vasquez, Hugo	8	26	64		5	6	150	Colombia
Gajardo-San Martin, Leonardo	10	1	68		5	8	154	
Muchotrigo-Carrillo, Dario	12	17	70					Peru
Acres, Jason	4	30	71		5	9	160	
Leib, Ryan	9	15	72					
Adams, Dwayne	1	23	73					Bermuda
Andrews, Neal	5	27	73					
O'brien, Kevin	6	13	73		5	10	165	USA
Coggins, Jacob	11	28	78		6	4	190	USA
Sorzano, Jeremy	9	7	73		5	9	170	
Paul, Lee	9	18	73		5	11	180	
Calderson, Carlos	11	18	73		5	8	158	
Cassar, Jeff	2	2	74					USA
Dos Santos-Dopico, Hebert	4	3	74					
Swinehart, Dustin	7	1	74		6	0	165	USA
Hylton, Andrew	12	26	74		6	3	195	
Pinch, Mark	12	15	75		5	7	150	
Mcdermott, Andrew	2	4	76		5	11	175	USA
Johnson, Benjamin	2	10	77		5	5	155	USA
Watkins, Nathan	4	26	77		5	9	150	USA
Napoleon, Matt	8	18	77					USA
Guastaferro, Andrew	11	24	77		5	10	175	USA
Goddard, Richard	1	30	78					Trinidad
Groome, Roger	3	10	78		6	0	175	
Allen, Christopher	4	3	78		5	10	165	USA
Gomez, Jose	3	12	79		5	8	150	USA
Upton, Trevor	9	19	79					
Rife, Josh	12	29	79		6	0	185	USA
Short, Dean	3	9	80					
Long, Jonah	3	14	80		5	10	165	USA
Woodworth, Hayden	12	12	80		5	8	160	USA
Faro, Aaron	3	11	81		5	11	160	
Ward, Jacob	5	5	81					
McClellan, Chris	5	9	81					
Finklea, Timothy					6	2	180	
McAlpine, Chris								
Micustan, Marius								
